Account Number,Fund Number,Fund Name,Fund Group,Department,Division,Account Description,Sub Account Description,Element Description,Object Description,Year,Amount
244-0000-361.30-01,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2011,$0
244-0000-395.30-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
251-0000-311.10-00,251,SPEC SERVICE AREA #3 THF,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,$0
251-0000-361.10-00,251,SPEC SERVICE AREA #3 THF,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
251-0000-361.20-00,251,SPEC SERVICE AREA #3 THF,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
251-0000-361.30-01,251,SPEC SERVICE AREA #3 THF,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2011,$0
252-0000-311.10-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,"$80,400"
252-0000-314.10-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,TAXES,SELECTIVE SALES/USE TAXES,HOTEL/MOTEL TAX,,2011,"$30,000"
252-0000-361.10-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$100
252-0000-361.30-01,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2011,$0
253-0000-311.10-00,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,"$225,000"
253-0000-311.10-10,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,SPECIAL DISTRIBUTIONS,2011,$0
253-0000-361.10-00,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
253-0000-361.30-01,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2011,$0
310-0000-300.00-00,310,WATER FUND,ENTERPRISE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$1,533,250"
310-0000-334.90-00,310,WATER FUND,ENTERPRISE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2011,$0
310-0000-343.33-01,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,USER CHARGES,2011,"$6,712,420"
310-0000-343.33-03,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,SERVICE CHARGES,2011,"$5,250"
310-0000-343.33-04,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,SPRINKLER CHARGES,2011,"$47,500"
310-0000-343.33-05,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,PRIVATE HYDRANT CHARGES,2011,"$65,750"
310-0000-343.33-11,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,TAP ON CHARGES,2011,"$5,000"
310-0000-343.33-20,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,JULIE LOCATE FEES,2011,"$39,415"
310-0000-343.33-25,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,METERING SERVICES,2011,"$144,685"
310-0000-343.33-75,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,S EVENT/CONSTRCT WATERUSE,2011,"$8,500"
310-0000-343.33-99,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,MISCELLANEOUS CHARGES,2011,"$10,000"
310-0000-345.40-10,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,HEALTH,LAB FEES,LAB FEES,2011,"$2,500"
310-0000-353.30-00,310,WATER FUND,ENTERPRISE FUNDS,,,FINES AND FORFEITURES,PENALTIES,LATE/OVERDUE PENALTIES,,2011,"$71,000"
310-0000-361.10-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,"$1,500"
310-0000-361.20-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
310-0000-361.50-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,"$20,000"
310-0000-363.25-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,ANTENNA LEASE AGREEMENTS,,2011,"$37,500"
310-0000-365.75-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,DONATED MAIN,,2011,$0
310-0000-391.32-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM WPC,,2011,"$100,000"
310-0000-392.20-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2011,$0
310-0000-392.40-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SCRAP,,2011,"$1,250"
310-0000-393.10-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2011,$0
310-0000-395.20-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE TO CITY PROPERTY,,2011,$0
310-0000-395.30-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,"$5,250"
310-0000-395.40-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OVER - SHORT,,2011,$0
310-0000-395.51-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SERVICE REPAIR REIMBURSMT,,2011,$0
310-0000-395.65-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE CLAIM REIMBURSMENT,,2011,$0
320-0000-300.00-00,320,WPC FUND,ENTERPRISE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$55,000"
320-0000-343.33-01,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,USER CHARGES,2011,"$6,329,320"
320-0000-343.33-02,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,EAST MOLINE CHARGES,2011,"$215,540"
320-0000-343.33-03,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,SERVICE CHARGES,2011,"$45,000"
320-0000-343.33-09,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,PRETREATMENT CHARGES,2011,"$6,000"
320-0000-343.33-10,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,SLUDGE COLLECTION,2011,"$273,020"
320-0000-343.33-11,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,TAP ON CHARGES,2011,"$5,000"
320-0000-343.33-65,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,COAL VALLEY CHARGES,2011,"$445,080"
320-0000-353.30-00,320,WPC FUND,ENTERPRISE FUNDS,,,FINES AND FORFEITURES,PENALTIES,LATE/OVERDUE PENALTIES,,2011,"$60,000"
320-0000-361.10-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$200
320-0000-361.20-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
320-0000-361.40-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST - RAN,,2011,$0
320-0000-361.50-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
320-0000-361.60-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INT ON T-BILLS/T-NOTES,,2011,$0
320-0000-361.90-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,OTHER INTEREST,,2011,$0
320-0000-363.25-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,ANTENNA LEASE AGREEMENTS,,2011,"$15,000"
320-0000-365.75-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,DONATED MAIN,,2011,$0
320-0000-391.31-00,320,WPC FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM WATER,,2011,$0
320-0000-395.30-00,320,WPC FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,"$5,500"
322-0000-361.10-00,322,REHAB REPLACEMENT FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
330-0000-300.00-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$359,105"
330-0000-322.33-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,STORM WATER PERMIT FEES,,2011,"$15,000"
330-0000-334.90-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2011,$0
330-0000-343.33-01,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,USER CHARGES,2011,"$990,000"
330-0000-343.33-06,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,CONNECTION FEE,2011,$0
330-0000-361.10-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,"$12,000"
330-0000-361.50-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
330-0000-365.75-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,DONATED MAIN,,2011,$0
330-0000-393.10-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2011,$0
330-0000-395.30-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
410-0000-300.00-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$141,495"
410-0000-315.20-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,TAXES,INCOME TAXES,CORP PERS REPLACEMENT TAX,,2011,$0
410-0000-318.10-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,TAXES,OTHER TAXES,FOREIGN FIRE INS TAX,,2011,$0
410-0000-361.10-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$300
410-0000-361.15-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON MONEY MKT,,2011,"$50,000"
410-0000-361.50-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
410-0000-361.60-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INT ON T-BILLS/T-NOTES,,2011,"$35,000"
410-0000-361.65-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,AGENCY INTEREST,,2011,"$300,000"
410-0000-361.80-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,STOCK DIVIDENDS,,2011,"$170,000"
410-0000-361.83-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INT ON MUNICIPAL BONDS,,2011,$0
410-0000-361.84-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,TREAS BOND INTEREST,,2011,"$20,000"
410-0000-361.85-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON FIXED INCOME,,2011,"$50,000"
410-0000-362.10-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,GAINS ON INVESTMENTS,FIXED INCOME,,2011,$0
410-0000-365.60-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EMPLOYER CONTRIBUTIONS,,2011,"$2,678,280"
410-0000-365.62-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE/RETIREE CONTRIB-CHOICE,,2011,"$425,000"
410-0000-365.70-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,OTHER CONTRIBUTIONS,,2011,$0
410-0000-365.80-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,PENSION BUY BACK,,2011,$0
410-0000-395.30-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
410-0000-395.55-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,GAIN/LOSS SALE OF INVSTMT,,2011,$0
411-0000-300.00-00,411,REHER ART GALLERY,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$20,000"
411-0000-361.10-00,411,REHER ART GALLERY,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$50
411-0000-391.43-00,411,REHER ART GALLERY,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM LIBRARY TRUST,,2011,"$13,765"
411-0000-395.30-00,411,REHER ART GALLERY,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
412-0000-361.10-00,412,PERPETUAL CARE FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$100
412-0000-361.20-00,412,PERPETUAL CARE FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
412-0000-361.50-00,412,PERPETUAL CARE FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
412-0000-391.42-00,412,PERPETUAL CARE FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM PERPETUAL CARE,,2011,$0
412-0000-395.45-00,412,PERPETUAL CARE FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,PERPETUAL CARE,,2011,"$13,860"
414-0000-300.00-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,$0
414-0000-361.10-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$255
414-0000-361.20-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
414-0000-361.50-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
414-0000-361.55-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,VELIE TRUST INTEREST,,2011,"$1,150"
414-0000-361.65-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,AGENCY INTEREST,,2011,$0
414-0000-362.10-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,GAINS ON INVESTMENTS,FIXED INCOME,,2011,$0
414-0000-365.30-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,CEMETERY GIFTS,,2011,"$5,500"
414-0000-365.31-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,PARK ENHANCEMENT GIFTS,,2011,$0
414-0000-365.36-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,OTHER GIFTS,,2011,"$16,000"
414-0000-365.37-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,MEMORIAL GIFT PROGRAM,,2011,$0
414-0000-365.38-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,ACTIVITY CENTER GIFTS,,2011,$0
414-0000-391.12-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM PARKS,,2011,$0
414-0000-391.42-00,414,PARK/CEMETERY GIFTS,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM PERPETUAL CARE,,2011,$0
415-0000-300.00-00,415,FOREIGN FIRE INSURANCE,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,$0
415-0000-318.10-00,415,FOREIGN FIRE INSURANCE,SPECIAL REVENUE FUNDS,,,TAXES,OTHER TAXES,FOREIGN FIRE INS TAX,,2011,"$31,550"
415-0000-361.10-00,415,FOREIGN FIRE INSURANCE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$100
415-0000-361.50-00,415,FOREIGN FIRE INSURANCE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
420-0000-300.00-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,$0
420-0000-315.20-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,TAXES,INCOME TAXES,CORP PERS REPLACEMENT TAX,,2011,$0
420-0000-361.10-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$20
420-0000-361.15-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON MONEY MKT,,2011,"$22,000"
420-0000-361.60-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INT ON T-BILLS/T-NOTES,,2011,"$22,000"
420-0000-361.65-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,AGENCY INTEREST,,2011,"$67,700"
420-0000-361.80-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,STOCK DIVIDENDS,,2011,"$203,500"
420-0000-361.85-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON FIXED INCOME,,2011,"$297,000"
420-0000-362.10-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,GAINS ON INVESTMENTS,FIXED INCOME,,2011,$0
420-0000-365.60-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EMPLOYER CONTRIBUTIONS,,2011,"$2,280,595"
420-0000-365.62-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE/RETIREE CONTRIB-CHOICE,,2011,"$530,000"
420-0000-365.65-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,TRANSFER CONTRIBUTIONS,,2011,$0
420-0000-365.70-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,OTHER CONTRIBUTIONS,,2011,$0
420-0000-365.80-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,PENSION BUY BACK,,2011,$0
420-0000-395.30-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
420-0000-395.55-00,420,POLICE PENSION FUND,TRUST & AGENCIES,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,GAIN/LOSS SALE OF INVSTMT,,2011,$0
421-0000-300.00-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$60,000"
421-0000-334.90-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2011,$0
421-0000-361.10-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$200
421-0000-361.20-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
421-0000-361.50-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
421-0000-361.95-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BEQUEATH INTEREST,,2011,"$22,000"
421-0000-365.20-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,GIFTS,,2011,"$85,000"
421-0000-365.95-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,CANTERBURY INTEREST,,2011,$0
421-0000-395.30-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
440-0000-300.00-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$1,412,635"
440-0000-341.32-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,INTERNAL USER CHARGES,,2011,"$4,583,440"
440-0000-361.10-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$500
440-0000-361.20-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,"$5,000"
440-0000-361.50-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,"$30,000"
440-0000-365.62-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE/RETIREE CONTRIB-CHOICE,,2011,"$997,630"
440-0000-365.63-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE CONTRIB-CHOICE COBRA,,2011,"$2,230"
440-0000-365.64-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,RETIREE CONTRIBUTIONS,,2011,"$694,945"
