Account Number,Fund Number,Fund,Group Fund,Department,Division,Basic Activity,Sub Activity,Element,Account Name,Year,Amount,,,,,,,,,,,,,,
025-0732-492.04-40,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,TAXES,2011,"$4,000",,,,,,,,,,,,,,
025-0732-492.05-02,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,PRINTING,2011,"$6,800",,,,,,,,,,,,,,
025-0732-492.05-03,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,TELECOMMUNICATIONS,2011,"$1,500",,,,,,,,,,,,,,
025-0732-492.05-06,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2011,$0,,,,,,,,,,,,,,
025-0732-492.05-10,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2011,$500,,,,,,,,,,,,,,
025-0732-492.06-01,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SUPPLIES,OFFICE SUPPLIES,2011,"$5,000",,,,,,,,,,,,,,
025-0732-492.06-30,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SUPPLIES,OPERATING EQUIPMENT,2011,$0,,,,,,,,,,,,,,
025-0732-492.06-31,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SUPPLIES,SUPPLIES & MATERIALS,2011,"$2,500",,,,,,,,,,,,,,
025-0732-492.08-02,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,CAPITAL IMPROVEMENTS,REHAB ACQUISTION,2011,"$346,665",,,,,,,,,,,,,,
025-0732-492.29-25,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,REHAB,2011,$0,,,,,,,,,,,,,,
025-0733-492.03-02,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,RELOCATION,2011,$0,,,,,,,,,,,,,,
025-0733-492.03-11,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,GRANT ADMINISTRATION,2011,"$3,035",,,,,,,,,,,,,,
025-0733-492.03-22,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2011,"$8,800",,,,,,,,,,,,,,
025-0733-492.04-25,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2011,"$150,000",,,,,,,,,,,,,,
025-0733-492.04-40,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,TAXES,2011,$0,,,,,,,,,,,,,,
025-0733-492.05-02,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,PRINTING,2011,"$2,000",,,,,,,,,,,,,,
025-0733-492.05-03,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,TELECOMMUNICATIONS,2011,"$5,000",,,,,,,,,,,,,,
025-0733-492.05-06,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2011,$0,,,,,,,,,,,,,,
025-0733-492.06-31,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SUPPLIES,SUPPLIES & MATERIALS,2011,$300,,,,,,,,,,,,,,
025-0733-492.08-02,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,CAPITAL IMPROVEMENTS,REHAB ACQUISTION,2011,$0,,,,,,,,,,,,,,
025-0733-492.08-96,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 DEMOLITION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,CAPITAL IMPROVEMENTS,DEMOLITION,2011,$0,,,,,,,,,,,,,,
025-0734-492.01-01,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SALARIES/WAGES,FULL TIME SALARIES,2011,$0,,,,,,,,,,,,,,
025-0734-492.02-30,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,FICA/MEDICARE,2011,$0,,,,,,,,,,,,,,
025-0734-492.02-35,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2011,$0,,,,,,,,,,,,,,
025-0734-492.02-50,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2011,$0,,,,,,,,,,,,,,
025-0734-492.02-55,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2011,"$5,000",,,,,,,,,,,,,,
025-0734-492.03-11,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,GRANT ADMINISTRATION,2011,"$25,480",,,,,,,,,,,,,,
025-0734-492.03-15,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,OTHER (REAL ESTATE RFP),2011,$0,,,,,,,,,,,,,,
025-0734-492.03-22,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2011,"$7,500",,,,,,,,,,,,,,
025-0734-492.04-16,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,UTILITY SERVICES,2011,$0,,,,,,,,,,,,,,
025-0734-492.04-25,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2011,"$800,000",,,,,,,,,,,,,,
025-0734-492.04-35,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,SOFT COSTS,2011,"$120,000",,,,,,,,,,,,,,
025-0734-492.04-40,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,TAXES,2011,"$6,000",,,,,,,,,,,,,,
025-0734-492.05-02,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,PRINTING,2011,"$3,000",,,,,,,,,,,,,,
025-0734-492.05-03,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,TELECOMMUNICATIONS,2011,$500,,,,,,,,,,,,,,
025-0734-492.05-06,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2011,$0,,,,,,,,,,,,,,
025-0734-492.05-10,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2011,$750,,,,,,,,,,,,,,
025-0734-492.06-31,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SUPPLIES,SUPPLIES & MATERIALS,2011,"$2,000",,,,,,,,,,,,,,
025-0734-492.08-02,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,CAPITAL IMPROVEMENTS,REHAB ACQUISTION,2011,$0,,,,,,,,,,,,,,
025-0734-492.08-03,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,CAPITAL IMPROVEMENTS,NEW CONSTR ACQUISITION,2011,"$60,000",,,,,,,,,,,,,,
025-0734-492.29-27,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 NEW CONSTRUCTION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,NEW CONSTRUCTION,2011,$0,,,,,,,,,,,,,,
110-1621-455.01-01,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SALARIES/WAGES,FULL TIME SALARIES,2011,"$1,592,695",,,,,,,,,,,,,,
110-1621-455.01-03,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SALARIES/WAGES,SEASONAL SALARIES,2011,"$35,970",,,,,,,,,,,,,,
110-1621-455.01-11,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SALARIES/WAGES,OVERTIME PAY,2011,"$8,000",,,,,,,,,,,,,,
110-1621-455.01-23,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SALARIES/WAGES,DUTY DISABILITY,2011,$0,,,,,,,,,,,,,,
110-1621-455.01-24,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2011,$0,,,,,,,,,,,,,,
110-1621-455.01-25,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SALARIES/WAGES,WORKER'S COMP,2011,$0,,,,,,,,,,,,,,
110-1621-455.01-27,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2011,$0,,,,,,,,,,,,,,
110-1621-455.02-30,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2011,"$125,205",,,,,,,,,,,,,,
110-1621-455.02-35,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2011,"$145,865",,,,,,,,,,,,,,
110-1621-455.02-50,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2011,"$189,750",,,,,,,,,,,,,,
110-1621-455.02-55,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2011,"$7,500",,,,,,,,,,,,,,
110-1621-455.03-21,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2011,"$2,000",,,,,,,,,,,,,,
110-1621-455.03-22,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2011,"$32,775",,,,,,,,,,,,,,
110-1621-455.03-31,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,PROFESSIONAL SERVICES,PUBLIC WORKS SERVICES,2011,"$94,110",,,,,,,,,,,,,,
110-1621-455.03-36,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2011,"$18,295",,,,,,,,,,,,,,
110-1621-455.04-15,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,PROPERTY SERVICES,RENTAL EXPENSE,2011,"$36,770",,,,,,,,,,,,,,
110-1621-455.04-16,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,PROPERTY SERVICES,UTILITY SERVICE,2011,"$124,955",,,,,,,,,,,,,,
110-1621-455.04-25,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2011,"$8,000",,,,,,,,,,,,,,
110-1621-455.04-26,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2011,"$39,335",,,,,,,,,,,,,,
110-1621-455.04-28,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,PROPERTY SERVICES,VEHICLE LEASE PAYMENTS,2011,$0,,,,,,,,,,,,,,
110-1621-455.05-03,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,OTHER SERVICES,TELECOMMUNICATIONS,2011,"$8,820",,,,,,,,,,,,,,
110-1621-455.05-04,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,OTHER SERVICES,POSTAGE/SHIPPING,2011,"$5,800",,,,,,,,,,,,,,
110-1621-455.05-05,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,OTHER SERVICES,MEMBERSHIPS/PUBLICATIONS,2011,"$2,690",,,,,,,,,,,,,,
110-1621-455.05-06,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,OTHER SERVICES,ADVERTISING/PROMOTION,2011,"$1,000",,,,,,,,,,,,,,
110-1621-455.05-07,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,OTHER SERVICES,PUBLIC/EMPLOYEE RELATIONS,2011,$300,,,,,,,,,,,,,,
110-1621-455.05-10,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2011,$800,,,,,,,,,,,,,,
110-1621-455.05-55,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,OTHER SERVICES,LIABILITY INS COVERAGE,2011,"$60,680",,,,,,,,,,,,,,
110-1621-455.06-01,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,OFFICE SUPPLIES,2011,"$34,600",,,,,,,,,,,,,,
110-1621-455.06-30,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,OPERATING SUPPLIES,2011,"$13,000",,,,,,,,,,,,,,
110-1621-455.06-31,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,MAINTENANCE SUPPLIES,2011,"$8,000",,,,,,,,,,,,,,
110-1621-455.06-78,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,MICROFILM DIGITIZATION,2011,$300,,,,,,,,,,,,,,
110-1621-455.06-79,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,CHILDREN'S ELECTRONIC REF,2011,$0,,,,,,,,,,,,,,
110-1621-455.06-80,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,YOUNG ADULT,2011,"$7,355",,,,,,,,,,,,,,
110-1621-455.06-81,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,ADULT BOOKS,2011,"$44,120",,,,,,,,,,,,,,
110-1621-455.06-82,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,CHILDREN BOOKS,2011,"$84,105",,,,,,,,,,,,,,
110-1621-455.06-83,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,ADULT MUSIC,2011,"$8,020",,,,,,,,,,,,,,
110-1621-455.06-84,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,NON-YOUTH FILM,2011,"$19,385",,,,,,,,,,,,,,
110-1621-455.06-85,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,ADULT PERIODICALS,2011,"$14,705",,,,,,,,,,,,,,
110-1621-455.06-86,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,CHILDREN REFERENCE,2011,"$13,815",,,,,,,,,,,,,,
110-1621-455.06-87,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,ADULT ELECTRONIC REFERNCE,2011,"$52,810",,,,,,,,,,,,,,
110-1621-455.06-88,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,ADULT PRINT REFERENCE,2011,$0,,,,,,,,,,,,,,
110-1621-455.06-89,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,CHILDREN'S REALIA,2011,"$2,165",,,,,,,,,,,,,,
110-1621-455.06-90,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,ADULT STANDING ORDERS,2011,"$52,810",,,,,,,,,,,,,,
110-1621-455.06-91,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,ADULT CIRC E-RESOURCES,2011,"$2,230",,,,,,,,,,,,,,
110-1621-455.06-92,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,ADULT AUDIO BOOKS,2011,"$21,390",,,,,,,,,,,,,,
110-1621-455.06-93,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,CHILDREN MUSIC,2011,"$1,200",,,,,,,,,,,,,,
110-1621-455.06-94,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,CHILDREN'S FILMS,2011,"$6,010",,,,,,,,,,,,,,
110-1621-455.06-95,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,CHILDREN'S PERIODICALS,2011,"$2,405",,,,,,,,,,,,,,
110-1621-455.06-96,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,CHILDREN'S AUDIO BOOKS,2011,"$9,250",,,,,,,,,,,,,,
110-1621-455.06-97,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,CHILDREN'S ELEC RESOURCES,2011,"$1,205",,,,,,,,,,,,,,
110-1621-455.06-98,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,ADMIN COMPUTER SOFTWARE,2011,$0,,,,,,,,,,,,,,
110-1621-455.06-99,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,SUPPLIES,COMP HARDWARE/SOFTWARE,2011,"$2,000",,,,,,,,,,,,,,
110-1621-455.09-20,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,DEBT SERVICE,INTEREST PAYMENTS,2011,$0,,,,,,,,,,,,,,
110-1621-455.10-99,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,LIBRARY,ADMINISTRATION,RECREATION/CULTURE,LIBRARY,INTERFUND TRANSFER,TRANSFER TO RESERVES,2011,$0,,,,,,,,,,,,,,
120-1521-452.01-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ADMINISTRATION,RECREATION/CULTURE,PARK,SALARIES/WAGES,FULL TIME SALARIES,2011,"$116,325",,,,,,,,,,,,,,
120-1521-452.01-11,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ADMINISTRATION,RECREATION/CULTURE,PARK,SALARIES/WAGES,OVERTIME PAY,2011,$0,,,,,,,,,,,,,,
120-1521-452.01-23,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ADMINISTRATION,RECREATION/CULTURE,PARK,SALARIES/WAGES,DUTY DISABILITY,2011,$0,,,,,,,,,,,,,,
120-1521-452.01-24,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ADMINISTRATION,RECREATION/CULTURE,PARK,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2011,$0,,,,,,,,,,,,,,
120-1521-452.01-27,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ADMINISTRATION,RECREATION/CULTURE,PARK,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2011,$0,,,,,,,,,,,,,,
120-1521-452.02-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ADMINISTRATION,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2011,"$8,895",,,,,,,,,,,,,,
120-1521-452.02-35,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ADMINISTRATION,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2011,"$10,820",,,,,,,,,,,,,,
120-1521-452.02-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ADMINISTRATION,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2011,"$36,775",,,,,,,,,,,,,,
120-1521-452.02-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,ADMINISTRATION,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2011,"$1,000",,,,,,,,,,,,,,
