Hospital,Multi-Acute System,Cohort,Zip Code,IdOrgHosp,Full City and State,City/Town,State,County,Hospital Specific Discharges From a ZIP Code                     (A),Total Hospital Discharges                  (B),Total Discharges for ZIP Code                  (C),ZIP Code Level Discharges as a % of Total Hospital Discharges                        (=A/B),Hospital Specific Discharges From a ZIP Code as a % of Total ZIP Code Discharges                   (=A/C),Hospital Size by Discharges,Hospital Type,Hospital Size by Total Revenue
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01199,5,"Springfield, MA",Springfield,MA,Hampden County,42,5079,267,0.008269344,0.157303371,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01341,5,"Conway, MA",Conway,MA,Franklin County,40,5079,126,0.007875566,0.317460317,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01379,5,"Wendell, MA",Wendell,MA,Franklin County,33,5079,67,0.006497342,0.492537313,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01378,5,"Warwick, MA",Warwick,MA,Franklin County,29,5079,85,0.005709785,0.341176471,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01346,5,"Heath, MA",Heath,MA,Franklin County,27,5079,41,0.005316007,0.658536585,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01330,5,"Ashfield, MA",Ashfield,MA,Franklin County,26,5079,124,0.005119118,0.209677419,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01230,8,"Great Barrington, MA",Great Barrington,MA,Berkshire County,329,966,895,0.34057971,0.367597765,"Less than 1,000",Community High Public Payer Hospital,$50M-$100M
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01238,8,"Lee, MA",Lee,MA,Berkshire County,71,966,721,0.073498965,0.098474341,"Less than 1,000",Community High Public Payer Hospital,$50M-$100M
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01257,8,"Sheffield, MA",Sheffield,MA,Berkshire County,62,966,206,0.064182195,0.300970874,"Less than 1,000",Community High Public Payer Hospital,$50M-$100M
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01236,8,"Housatonic, MA",Housatonic,MA,Berkshire County,56,966,195,0.057971014,0.287179487,"Less than 1,000",Community High Public Payer Hospital,$50M-$100M
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01201,8,"Pittsfield, MA",Pittsfield,MA,Berkshire County,44,966,7457,0.045548654,0.005900496,"Less than 1,000",Community High Public Payer Hospital,$50M-$100M
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01240,8,"Lenox, MA",Lenox,MA,Berkshire County,28,966,643,0.028985507,0.043545879,"Less than 1,000",Community High Public Payer Hospital,$50M-$100M
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01222,8,"Ashley Falls, MA",Ashley Falls,MA,Berkshire County,27,966,67,0.027950311,0.402985075,"Less than 1,000",Community High Public Payer Hospital,$50M-$100M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02130,22,"Jamaica Plain, MA",Jamaica Plain,MA,Suffolk County,1254,47309,3948,0.026506584,0.317629179,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02124,22,"Dorchester Center, MA",Dorchester Center,MA,Suffolk County,1062,47309,6492,0.02244816,0.163585952,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02119,22,"Roxbury, MA",Roxbury,MA,Suffolk County,971,47309,4157,0.020524636,0.23358191,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02131,22,"Roslindale, MA",Roslindale,MA,Suffolk County,854,47309,3431,0.018051534,0.248907024,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02136,22,"Hyde Park, MA",Hyde Park,MA,Suffolk County,821,47309,4067,0.017353992,0.201868699,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02132,22,"West Roxbury, MA",West Roxbury,MA,Suffolk County,729,47309,3315,0.01540933,0.219909502,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02121,22,"Dorchester, MA",Dorchester,MA,Suffolk County,722,47309,3478,0.015261367,0.207590569,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02446,22,"Brookline, MA",Brookline,MA,Norfolk County,576,47309,2118,0.012175273,0.271954674,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02125,22,"Dorchester, MA",Dorchester,MA,Suffolk County,565,47309,3535,0.011942759,0.159830269,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02126,22,"Mattapan, MA",Mattapan,MA,Suffolk County,515,47309,3221,0.010885878,0.159888233,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02120,22,"Roxbury Crossing, MA",Roxbury Crossing,MA,Suffolk County,484,47309,1295,0.010230612,0.373745174,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02026,22,"Dedham, MA",Dedham,MA,Norfolk County,471,47309,3323,0.009955822,0.141739392,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02115,22,"Boston, MA",Boston,MA,Suffolk County,465,47309,1466,0.009828997,0.317189632,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02445,22,"Brookline, MA",Brookline,MA,Norfolk County,457,47309,1482,0.009659896,0.308367072,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02169,22,"Quincy, MA",Quincy,MA,Norfolk County,450,47309,7368,0.009511932,0.061074919,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02118,22,"Boston, MA",Boston,MA,Suffolk County,433,47309,3868,0.009152593,0.111944157,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02127,22,"Boston, MA",Boston,MA,Suffolk County,429,47309,3350,0.009068042,0.128059701,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02301,22,"Brockton, MA",Brockton,MA,Plymouth County,414,47309,11364,0.008750978,0.036430834,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02135,22,"Brighton, MA",Brighton,MA,Suffolk County,398,47309,3538,0.008412776,0.112492934,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02368,22,"Randolph, MA",Randolph,MA,Norfolk County,379,47309,4280,0.008011161,0.088551402,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02062,22,"Norwood, MA",Norwood,MA,Norfolk County,378,47309,4371,0.007990023,0.086479067,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02155,22,"Medford, MA",Medford,MA,Middlesex County,368,47309,5871,0.007778647,0.062680974,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02467,22,"Chestnut Hill, MA",Chestnut Hill,MA,Norfolk County,367,47309,1300,0.007757509,0.282307692,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02184,22,"Braintree, MA",Braintree,MA,Norfolk County,361,47309,4801,0.007630683,0.075192668,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02780,22,"Taunton, MA",Taunton,MA,Bristol County,361,47309,7200,0.007630683,0.050138889,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02122,22,"Dorchester, MA",Dorchester,MA,Suffolk County,329,47309,2581,0.006954279,0.127469973,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02186,22,"Milton, MA",Milton,MA,Norfolk County,325,47309,2672,0.006869729,0.121631737,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02021,22,"Canton, MA",Canton,MA,Norfolk County,323,47309,2854,0.006827454,0.113174492,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02148,22,"Malden, MA",Malden,MA,Middlesex County,323,47309,6340,0.006827454,0.050946372,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02072,22,"Stoughton, MA",Stoughton,MA,Norfolk County,292,47309,3994,0.006172187,0.073109664,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02035,22,"Foxboro, MA",Foxboro,MA,Norfolk County,290,47309,1858,0.006129912,0.156081808,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02151,22,"Revere, MA",Revere,MA,Suffolk County,279,47309,6557,0.005897398,0.042549947,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02116,22,"Boston, MA",Boston,MA,Suffolk County,268,47309,1710,0.005664884,0.156725146,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02472,22,"Watertown, MA",Watertown,MA,Middlesex County,265,47309,3093,0.005601471,0.085677336,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02360,22,"Plymouth, MA",Plymouth,MA,Plymouth County,257,47309,6947,0.00543237,0.036994386,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02038,22,"Franklin, MA",Franklin,MA,Norfolk County,252,47309,2727,0.005326682,0.092409241,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02459,22,"Newton Center, MA",Newton Center,MA,Middlesex County,245,47309,1351,0.005178719,0.18134715,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02048,22,"Mansfield, MA",Mansfield,MA,Bristol County,242,47309,1966,0.005115306,0.123092574,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02703,22,"Attleboro, MA",Attleboro,MA,Bristol County,239,47309,4609,0.005051893,0.051855066,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02043,22,"Hingham, MA",Hingham,MA,Plymouth County,236,47309,2711,0.00498848,0.087052748,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02081,22,"Walpole, MA",Walpole,MA,Norfolk County,232,47309,2334,0.004903929,0.099400171,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,01760,22,"Natick, MA",Natick,MA,Middlesex County,223,47309,3276,0.004713691,0.068070818,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,01701,22,"Framingham, MA",Framingham,MA,Middlesex County,222,47309,3169,0.004692553,0.070053645,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02067,22,"Sharon, MA",Sharon,MA,Norfolk County,222,47309,1417,0.004692553,0.156669019,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02050,22,"Marshfield, MA",Marshfield,MA,Plymouth County,220,47309,2688,0.004650278,0.081845238,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02090,22,"Westwood, MA",Westwood,MA,Norfolk County,210,47309,1636,0.004438902,0.128361858,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02138,22,"Cambridge, MA",Cambridge,MA,Middlesex County,210,47309,1960,0.004438902,0.107142857,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02536,22,"East Falmouth, MA",East Falmouth,MA,Barnstable County,210,47309,2623,0.004438902,0.080060999,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,01960,22,"Peabody, MA",Peabody,MA,Essex County,209,47309,7599,0.004417764,0.027503619,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02129,22,"Charlestown, MA",Charlestown,MA,Suffolk County,207,47309,1901,0.004375489,0.108890058,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02492,22,"Needham, MA",Needham,MA,Norfolk County,203,47309,1823,0.004290938,0.111354909,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02190,22,"South Weymouth, MA",South Weymouth,MA,Norfolk County,194,47309,2385,0.0041007,0.081341719,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02139,22,"Cambridge, MA",Cambridge,MA,Middlesex County,193,47309,2416,0.004079562,0.079884106,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02766,22,"Norton, MA",Norton,MA,Bristol County,192,47309,1890,0.004058424,0.101587302,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,01702,22,"Framingham, MA",Framingham,MA,Middlesex County,178,47309,3135,0.003762498,0.056778309,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02149,22,"Everett, MA",Everett,MA,Middlesex County,178,47309,4843,0.003762498,0.036754078,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02481,22,"Wellesley Hills, MA",Wellesley Hills,MA,Norfolk County,178,47309,1077,0.003762498,0.165273909,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02302,22,"Brockton, MA",Brockton,MA,Plymouth County,177,47309,4728,0.00374136,0.037436548,"40,000 or more",Academic Medical Center,More than $500M
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02066,22,"Scituate, MA",Scituate,MA,Plymouth County,173,47309,1885,0.003656809,0.091777188,"40,000 or more",Academic Medical Center,More than $500M
